scenario,level,level_label,n_seeds,dir_err_deg_mean,dir_err_deg_std,speed_err_pct_mean,speed_err_pct_std,eta_err_s_mean,eta_err_s_std,delivery_rate_mean,delivery_rate_std,fp_rate_mean,fp_rate_std,detect_lag_s_mean,detect_lag_s_std,coverage_mean,coverage_std,reroute_ms_mean_mean,reroute_ms_mean_std,local_dir_median_deg_mean,local_dir_median_deg_std,local_dir_p90_deg_mean,local_dir_p90_deg_std,local_speed_median_pct_mean,local_speed_median_pct_std,local_speed_p90_pct_mean,local_speed_p90_pct_std
S3,0,radial,30,11.321,0.0,0.865,0.0,6.084,0.0,0.9508,0.0238,0.0,0.0,2.746,0.0,1.0,0.0,100.0,0.0,6.87,0.0,15.958,0.0,3.519,0.0,27.908,0.0
S3,1,radial_wind,30,11.6499,1.1091,47.3835,20.4408,5.4649,1.8916,0.9591,0.0265,0.0,0.0,2.7754,0.0123,1.0,0.0,100.0,0.0,7.6826,0.9462,14.9616,1.2846,17.6233,7.7124,44.8438,15.5732
