arm,scenario,threshold_C,benign_c,benign_node_temp_C,benign_fp_rate_mean,confirmed_fp_rate_mean,n_confirmed_mean
warn_coupled,S2a_10,45.0,20.0,45.0,0.0,0.0,13.0
warn_coupled,S2a_10,45.0,30.0,55.0,6.44,7.22,13.37
warn_coupled,S2a_10,45.0,40.0,65.0,10.89,12.26,13.37
warn_coupled,S2a_10,50.0,0.0,25.0,0.0,0.0,13.1
warn_coupled,S2a_10,50.0,20.0,45.0,0.0,0.0,13.03
warn_coupled,S2a_10,50.0,30.0,55.0,0.0,0.0,12.9
warn_coupled,S2a_10,50.0,40.0,65.0,9.33,10.56,13.33
warn_coupled,S2a_10,60.0,0.0,25.0,0.0,0.0,13.23
warn_coupled,S2a_10,60.0,20.0,45.0,0.0,0.0,13.1
warn_coupled,S2a_10,60.0,30.0,55.0,0.0,0.0,13.07
warn_coupled,S2a_10,60.0,40.0,65.0,0.0,0.0,13.03
warn_coupled,S2a_10,70.0,0.0,25.0,0.0,0.0,13.3
warn_coupled,S2a_10,70.0,20.0,45.0,0.0,0.0,13.13
warn_coupled,S2a_10,70.0,30.0,55.0,0.0,0.0,13.07
warn_coupled,S2a_10,70.0,40.0,65.0,0.0,0.0,13.1
warn_coupled,S2a_10,80.0,0.0,25.0,0.0,0.0,13.3
warn_coupled,S2a_10,80.0,20.0,45.0,0.0,0.0,13.3
warn_coupled,S2a_10,80.0,30.0,55.0,0.0,0.0,13.17
warn_coupled,S2a_10,80.0,40.0,65.0,0.0,0.0,13.0
