dist_m,n,eta_true_mean_s,E3_cov_pct,E3_breach_early_pct,E3_breach_late_pct,E3_width_s,E3x_cov_pct,E3x_breach_early_pct,E3x_breach_late_pct,E3x_width_s,scenario,warm_mult,warm_scale_m
60.0,432,40.7,84.7,0.0,15.3,43.7,99.5,0.0,0.5,62.8,S2b_40,1.2,7.2
100.0,432,66.8,82.9,0.0,17.1,73.6,100.0,0.0,0.0,101.1,S2b_40,1.2,7.2
30.0,442,20.1,77.6,0.0,22.4,21.1,99.1,0.0,0.9,34.0,S2b_40,1.3,7.8
60.0,442,40.7,75.8,0.0,24.2,43.5,98.6,0.0,1.4,62.6,S2b_40,1.3,7.8
100.0,442,66.7,76.2,0.0,23.8,73.5,100.0,0.0,0.0,101.0,S2b_40,1.3,7.8
30.0,339,20.1,87.3,0.0,12.7,21.8,100.0,0.0,0.0,34.6,S2b_40,1.5,9.0
60.0,339,40.7,90.9,0.0,9.1,45.8,100.0,0.0,0.0,65.0,S2b_40,1.5,9.0
100.0,339,66.8,92.6,0.0,7.4,78.1,100.0,0.0,0.0,105.6,S2b_40,1.5,9.0
30.0,470,20.0,0.0,100.0,0.0,13.4,94.7,5.3,0.0,26.2,S4_40,0.5,3.0
60.0,470,40.0,0.0,100.0,0.0,26.2,97.7,2.3,0.0,45.3,S4_40,0.5,3.0
100.0,470,66.7,0.6,99.4,0.0,43.2,97.7,2.3,0.0,70.7,S4_40,0.5,3.0
30.0,468,20.0,98.1,1.5,0.4,15.9,99.6,0.4,0.0,28.8,S4_40,0.7,4.2
60.0,468,40.0,99.1,0.4,0.4,31.2,99.6,0.4,0.0,50.3,S4_40,0.7,4.2
100.0,468,66.7,99.1,0.4,0.4,51.6,99.6,0.4,0.0,79.0,S4_40,0.7,4.2
30.0,464,20.0,99.6,0.0,0.4,17.0,100.0,0.0,0.0,29.8,S4_40,0.8,4.8
60.0,464,40.0,99.4,0.0,0.6,33.4,100.0,0.0,0.0,52.6,S4_40,0.8,4.8
100.0,464,66.7,98.9,0.0,1.1,55.4,100.0,0.0,0.0,82.9,S4_40,0.8,4.8
30.0,453,20.0,98.9,0.0,1.1,18.4,100.0,0.0,0.0,31.3,S4_40,1.0,6.0
60.0,453,40.0,98.5,0.0,1.5,36.8,100.0,0.0,0.0,55.9,S4_40,1.0,6.0
100.0,455,66.7,98.0,0.0,2.0,61.2,100.0,0.0,0.0,88.7,S4_40,1.0,6.0
30.0,448,20.0,87.7,0.0,12.3,19.4,100.0,0.0,0.0,32.3,S4_40,1.2,7.2
60.0,448,40.0,87.1,0.0,12.9,39.3,100.0,0.0,0.0,58.5,S4_40,1.2,7.2
100.0,448,66.7,86.2,0.0,13.8,66.0,100.0,0.0,0.0,93.5,S4_40,1.2,7.2
30.0,439,20.0,83.6,0.0,16.4,19.7,100.0,0.0,0.0,32.5,S4_40,1.3,7.8
60.0,442,40.0,84.2,0.0,15.8,40.1,100.0,0.0,0.0,59.3,S4_40,1.3,7.8
100.0,442,66.7,84.6,0.0,15.4,67.6,100.0,0.0,0.0,95.1,S4_40,1.3,7.8
30.0,395,20.0,87.3,0.0,12.7,20.4,100.0,0.0,0.0,33.3,S4_40,1.5,9.0
60.0,396,40.0,87.4,0.0,12.6,42.5,100.0,0.0,0.0,61.7,S4_40,1.5,9.0
100.0,401,66.7,86.3,0.0,13.7,71.9,99.5,0.0,0.5,99.4,S4_40,1.5,9.0
30.0,210,20.0,0.0,100.0,0.0,13.2,100.0,0.0,0.0,26.1,S6_n9,0.5,3.0
60.0,210,40.0,0.0,100.0,0.0,25.9,100.0,0.0,0.0,45.0,S6_n9,0.5,3.0
100.0,210,66.7,0.0,100.0,0.0,42.8,100.0,0.0,0.0,70.3,S6_n9,0.5,3.0
30.0,210,20.0,100.0,0.0,0.0,14.4,100.0,0.0,0.0,27.3,S6_n9,0.7,4.2
60.0,210,40.0,100.0,0.0,0.0,28.2,100.0,0.0,0.0,47.3,S6_n9,0.7,4.2
100.0,210,66.7,100.0,0.0,0.0,46.6,100.0,0.0,0.0,74.1,S6_n9,0.7,4.2
30.0,180,20.0,100.0,0.0,0.0,15.3,100.0,0.0,0.0,28.2,S6_n9,0.8,4.8
60.0,180,40.0,100.0,0.0,0.0,30.2,100.0,0.0,0.0,49.3,S6_n9,0.8,4.8
100.0,180,66.7,100.0,0.0,0.0,50.0,100.0,0.0,0.0,77.5,S6_n9,0.8,4.8
30.0,210,20.0,100.0,0.0,0.0,15.9,100.0,0.0,0.0,28.7,S6_n9,1.0,6.0
60.0,210,40.0,100.0,0.0,0.0,31.6,100.0,0.0,0.0,50.7,S6_n9,1.0,6.0
100.0,210,66.7,100.0,0.0,0.0,52.5,100.0,0.0,0.0,80.0,S6_n9,1.0,6.0
30.0,180,20.0,50.0,0.0,50.0,15.1,100.0,0.0,0.0,28.0,S6_n9,1.2,7.2
