dist_m,n,E3_cov_pct,E3_breach_early_pct,E3_width_s,E3x_cov_pct,E3x_breach_early_pct,E3x_width_s,E3x2_cov_pct,E3x2_breach_early_pct,E3x2_width_s,scenario,tau_s,mode,warm_mult
30.0,493,69.0,30.2,22.5,86.2,13.8,35.4,95.3,4.7,38.6,S2a_20,10.0,variable,0.5
60.0,493,80.9,18.9,42.7,87.4,12.6,61.8,94.3,5.7,65.0,S2a_20,10.0,variable,0.5
100.0,493,81.1,18.7,69.5,85.0,15.0,97.0,88.6,11.4,100.1,S2a_20,10.0,variable,0.5
30.0,453,98.9,0.0,18.4,100.0,0.0,31.3,100.0,0.0,34.5,S4_40,0.0,uniform,1.0
60.0,453,98.5,0.0,36.8,100.0,0.0,55.9,100.0,0.0,59.1,S4_40,0.0,uniform,1.0
100.0,455,98.0,0.0,61.2,100.0,0.0,88.7,100.0,0.0,91.9,S4_40,0.0,uniform,1.0
30.0,461,99.3,0.0,17.7,100.0,0.0,30.6,100.0,0.0,33.8,S4_40,2.0,uniform,1.0
60.0,462,98.9,0.0,34.9,100.0,0.0,54.0,100.0,0.0,57.2,S4_40,2.0,uniform,1.0
100.0,463,98.3,0.0,57.8,100.0,0.0,85.3,100.0,0.0,88.4,S4_40,2.0,uniform,1.0
30.0,468,99.1,0.0,18.1,100.0,0.0,31.0,100.0,0.0,34.1,S4_40,2.0,variable,1.0
60.0,468,99.1,0.0,35.6,100.0,0.0,54.8,100.0,0.0,57.9,S4_40,2.0,variable,1.0
100.0,468,99.1,0.0,59.1,100.0,0.0,86.6,100.0,0.0,89.7,S4_40,2.0,variable,1.0
30.0,461,100.0,0.0,16.9,100.0,0.0,29.7,100.0,0.0,32.9,S4_40,5.0,uniform,1.0
60.0,461,100.0,0.0,32.9,100.0,0.0,52.0,100.0,0.0,55.2,S4_40,5.0,uniform,1.0
100.0,461,100.0,0.0,54.3,100.0,0.0,81.8,100.0,0.0,84.9,S4_40,5.0,uniform,1.0
30.0,463,94.4,5.6,17.9,100.0,0.0,30.7,100.0,0.0,33.9,S4_40,5.0,variable,1.0
60.0,463,100.0,0.0,34.8,100.0,0.0,53.9,100.0,0.0,57.1,S4_40,5.0,variable,1.0
100.0,463,100.0,0.0,57.4,100.0,0.0,84.9,100.0,0.0,88.1,S4_40,5.0,variable,1.0
