scenario,level,level_label,n_seeds,dir_err_deg_mean,dir_err_deg_std,speed_err_pct_mean,speed_err_pct_std,eta_err_s_mean,eta_err_s_std,delivery_rate_mean,delivery_rate_std,fp_rate_mean,fp_rate_std,detect_lag_s_mean,detect_lag_s_std,coverage_mean,coverage_std,reroute_ms_mean_mean,reroute_ms_mean_std,nonfire_injected_mean,nonfire_injected_std,nonfire_confirmed_mean,nonfire_confirmed_std,nonfire_pollution_rate_mean,nonfire_pollution_rate_std,nonfire_actual_mean,nonfire_actual_std,nonfire_actual_confirmed_mean,nonfire_actual_confirmed_std,nonfire_pollution_rate_actual_mean,nonfire_pollution_rate_actual_std,nonfire_actual_total,nonfire_actual_confirmed_total,nonfire_pollution_pooled
S11on,0,nonfire_0,30,2.115,0.0,0.096,0.0,6.334,0.0,0.9697,0.0203,0.0,0.0,2.769,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
S11on,2,nonfire_2,30,2.0719,0.3771,0.1467,0.2593,6.3069,0.1536,0.9655,0.0225,0.0,0.0,2.7689,0.0106,1.0,0.0,100.0,0.0,2.0,0.0,1.3667,0.6574,0.6833,0.3287,0.7667,0.6155,0.1667,0.3727,0.15,0.3452,23,5,0.2174
S11on,4,nonfire_4,30,2.3009,0.5494,0.7639,2.5787,6.3498,0.1981,0.9664,0.0253,0.0,0.0,2.7674,0.0161,0.9909,0.0273,100.0,0.0,4.0,0.0,2.7333,0.8919,0.6833,0.223,1.4667,0.9214,0.3333,0.4714,0.2361,0.3764,44,10,0.2273
S11on,8,nonfire_8,30,2.6998,0.9683,2.0841,4.504,6.4436,0.2937,0.956,0.031,0.0,0.0,2.7734,0.0129,0.9668,0.0609,100.0,0.0,8.0,0.0,5.4,1.1719,0.675,0.1465,2.7333,1.1813,0.3667,0.6046,0.1161,0.2183,82,11,0.1341
