arm,scenario,threshold_C,tau_s,peak_C,seed,exposed,miss,miss_rate,n_confirmed,excluded_nonfire,blind_rate,dir_ok
warn_fixed,S1,40.0,78.5,500.0,13,15,0,0.0,0,13,100.0,0
warn_fixed,S1,40.0,78.5,500.0,14,15,0,0.0,0,13,100.0,0
warn_fixed,S1,40.0,78.5,500.0,15,15,0,0.0,0,13,100.0,0
warn_fixed,S1,40.0,78.5,500.0,16,15,0,0.0,0,13,100.0,0
warn_fixed,S1,40.0,78.5,500.0,17,15,0,0.0,0,13,100.0,0
warn_fixed,S1,40.0,78.5,500.0,18,15,0,0.0,0,13,100.0,0
warn_fixed,S1,40.0,78.5,500.0,19,15,0,0.0,0,13,100.0,0
warn_fixed,S1,40.0,78.5,500.0,20,15,0,0.0,0,13,100.0,0
warn_fixed,S1,40.0,100.0,150.0,1,15,15,100.0,0,0,100.0,0
warn_fixed,S1,40.0,100.0,150.0,2,15,15,100.0,0,0,100.0,0
warn_fixed,S1,40.0,100.0,150.0,3,15,15,100.0,0,0,100.0,0
warn_fixed,S1,40.0,100.0,150.0,4,15,15,100.0,0,0,100.0,0
warn_fixed,S1,40.0,100.0,150.0,5,15,15,100.0,0,0,100.0,0
