label,group,kappa_h_med,kappa_h_p95,gap_s,dtw_scaled,window_mode,dt_window,seed,dir_err,estimable,grade,n_local,per_node_frac,n_obs_mean,sigma_t_mean,s2_med
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,10,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,11,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,12,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,13,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,14,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,base,8.0,15,0.9399099499133822,1,OK,13,86.7,5.0,0.6041,0.4472
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,1,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,2,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,3,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,4,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,5,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,6,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
타원[head] W10 d60,ellipse_head,0.2412,0.3162,4.75,14.26,scaled,14.26,7,1.1538064159210206,1,OK,13,86.7,5.92,0.5182,0.5
