population,n,min,p1,p5,median,mean,std,mean_minus_3sigma,max,adopted_threshold_c_per_s
(i) 전체 정당 화재사망,5992,1.612,6.646,9.404,10.479,10.735,1.817,5.284,37.676,5.3
(ii) 분기③ 표본부족 통과분,3,10.194,10.194,10.194,10.194,10.289,0.134,9.886,10.479,5.3
