scenario,tau_s,var_pct,warm_mult,tau_used_mult,dist_m,n,dir_deg,E3x_cov,E3x_be,E3x_w,E3x2_cov,E3x2_be,E3x2_w
S6_n9,10.0,0.3,0.5,0.5,100.0,195,0.949,77.4,22.6,74.0,94.9,5.1,77.2
S6_n9,10.0,0.3,0.5,0.8,30.0,195,1.318,100.0,0.0,28.2,100.0,0.0,31.4
S6_n9,10.0,0.3,0.5,0.8,60.0,195,1.318,100.0,0.0,48.8,100.0,0.0,52.0
S6_n9,10.0,0.3,0.5,0.8,100.0,195,1.318,100.0,0.0,76.3,100.0,0.0,79.5
S6_n9,10.0,0.3,0.5,1.0,30.0,195,1.583,100.0,0.0,28.6,100.0,0.0,31.7
S6_n9,10.0,0.3,0.5,1.0,60.0,195,1.583,100.0,0.0,49.5,100.0,0.0,52.6
S6_n9,10.0,0.3,0.5,1.0,100.0,195,1.583,100.0,0.0,77.4,100.0,0.0,80.5
S6_n9,10.0,0.3,0.5,1.5,30.0,195,2.186,100.0,0.0,28.8,100.0,0.0,32.0
S6_n9,10.0,0.3,0.5,1.5,60.0,195,2.186,100.0,0.0,49.9,100.0,0.0,53.1
S6_n9,10.0,0.3,0.5,1.5,100.0,195,2.186,100.0,0.0,78.1,100.0,0.0,81.2
S7_worst,0.0,0.0,1.0,0.0,30.0,456,4.426,99.8,0.2,32.0,100.0,0.0,35.2
S7_worst,0.0,0.0,1.0,0.0,60.0,455,4.426,99.8,0.2,57.3,100.0,0.0,60.4
S7_worst,0.0,0.0,1.0,0.0,100.0,456,4.426,100.0,0.0,91.0,100.0,0.0,94.1
S7_worst,5.0,0.0,1.0,0.0,30.0,455,4.368,98.5,1.5,31.8,100.0,0.0,35.0
S7_worst,5.0,0.0,1.0,0.0,60.0,455,4.368,97.8,2.2,56.1,99.6,0.4,59.2
S7_worst,5.0,0.0,1.0,0.0,100.0,455,4.368,100.0,0.0,88.4,100.0,0.0,91.6
S7_worst,5.0,0.0,1.0,0.5,30.0,453,4.39,99.6,0.4,32.5,99.6,0.4,35.7
S7_worst,5.0,0.0,1.0,0.5,60.0,452,4.39,99.6,0.4,57.5,99.6,0.4,60.6
S7_worst,5.0,0.0,1.0,0.5,100.0,453,4.39,99.6,0.4,90.9,99.6,0.4,94.1
S7_worst,5.0,0.0,1.0,0.8,30.0,445,4.967,99.8,0.0,33.5,99.8,0.0,36.7
S7_worst,5.0,0.0,1.0,0.8,60.0,444,4.967,99.5,0.0,59.3,99.5,0.0,62.5
S7_worst,5.0,0.0,1.0,0.8,100.0,445,4.967,98.7,0.0,94.0,98.7,0.0,97.2
S7_worst,5.0,0.0,1.0,1.0,30.0,428,5.192,99.3,0.0,34.4,99.3,0.0,37.6
S7_worst,5.0,0.0,1.0,1.0,60.0,428,5.192,99.3,0.0,61.0,99.3,0.0,64.2
S7_worst,5.0,0.0,1.0,1.0,100.0,429,5.192,98.6,0.0,96.8,98.6,0.0,100.0
S7_worst,5.0,0.0,1.0,1.5,30.0,401,5.958,96.5,0.0,36.3,96.5,0.0,39.5
S7_worst,5.0,0.0,1.0,1.5,60.0,401,5.958,96.5,0.0,64.8,96.5,0.0,68.0
S7_worst,5.0,0.0,1.0,1.5,100.0,401,5.958,97.8,0.0,102.8,97.8,0.0,106.0
S7_worst,10.0,0.0,1.0,0.0,30.0,458,4.407,91.9,8.1,32.2,98.3,1.7,35.3
S7_worst,10.0,0.0,1.0,0.0,60.0,458,4.407,93.9,6.1,56.3,96.7,3.3,59.5
S7_worst,10.0,0.0,1.0,0.0,100.0,458,4.407,97.4,2.6,88.5,98.3,1.7,91.7
S7_worst,10.0,0.0,1.0,0.5,30.0,454,4.791,99.6,0.4,33.3,99.6,0.4,36.5
S7_worst,10.0,0.0,1.0,0.5,60.0,453,4.791,98.7,1.3,58.5,99.6,0.4,61.7
S7_worst,10.0,0.0,1.0,0.5,100.0,452,4.791,99.6,0.4,92.1,99.6,0.4,95.3
S7_worst,10.0,0.0,1.0,0.8,30.0,442,5.458,99.8,0.0,34.6,99.8,0.0,37.8
S7_worst,10.0,0.0,1.0,0.8,60.0,441,5.458,98.6,0.0,60.9,98.6,0.0,64.0
S7_worst,10.0,0.0,1.0,0.8,100.0,440,5.458,99.5,0.0,96.0,99.5,0.0,99.2
S7_worst,10.0,0.0,1.0,1.0,30.0,430,6.008,97.7,0.0,35.5,97.7,0.0,38.6
S7_worst,10.0,0.0,1.0,1.0,60.0,429,6.008,98.6,0.0,62.6,98.6,0.0,65.7
S7_worst,10.0,0.0,1.0,1.0,100.0,428,6.008,98.4,0.0,98.8,98.4,0.0,101.9
S7_worst,10.0,0.0,1.0,1.5,30.0,398,5.694,96.2,0.0,37.2,96.2,0.0,40.4
S7_worst,10.0,0.0,1.0,1.5,60.0,397,5.694,98.0,0.0,65.9,98.0,0.0,69.1
S7_worst,10.0,0.0,1.0,1.5,100.0,397,5.694,99.5,0.0,104.3,99.5,0.0,107.5
S7_worst,10.0,0.0,0.5,0.0,30.0,463,5.042,77.5,22.5,33.9,89.4,10.6,37.1
S7_worst,10.0,0.0,0.5,0.0,60.0,463,5.042,83.2,16.8,59.1,89.6,10.4,62.2
S7_worst,10.0,0.0,0.5,0.0,100.0,463,5.042,88.8,11.2,92.6,92.9,7.1,95.8
S7_worst,10.0,0.0,0.5,0.5,30.0,460,4.896,91.3,8.7,34.6,95.7,4.3,37.7
S7_worst,10.0,0.0,0.5,0.5,60.0,460,4.896,90.7,9.3,60.3,94.1,5.9,63.4
S7_worst,10.0,0.0,0.5,0.5,100.0,460,4.896,91.5,8.5,94.5,95.2,4.8,97.6
S7_worst,10.0,0.0,0.5,0.8,30.0,462,4.432,94.6,5.4,34.6,97.8,2.2,37.8
S7_worst,10.0,0.0,0.5,0.8,60.0,461,4.432,94.6,5.2,60.4,97.2,2.6,63.5
S7_worst,10.0,0.0,0.5,0.8,100.0,461,4.432,97.8,2.2,94.7,98.3,1.7,97.8
S7_worst,10.0,0.0,0.5,1.0,30.0,465,4.355,95.9,4.1,34.7,97.8,2.2,37.8
S7_worst,10.0,0.0,0.5,1.0,60.0,464,4.355,96.1,3.9,60.5,96.8,3.2,63.7
S7_worst,10.0,0.0,0.5,1.0,100.0,464,4.355,97.0,3.0,94.9,97.4,2.6,98.0
S7_worst,10.0,0.0,0.5,1.5,30.0,468,4.824,98.1,1.9,34.7,98.7,1.3,37.8
S7_worst,10.0,0.0,0.5,1.5,60.0,469,4.824,97.0,3.0,60.5,98.1,1.9,63.6
S7_worst,10.0,0.0,0.5,1.5,100.0,469,4.824,98.1,1.9,94.9,98.1,1.9,98.0
S7_worst,10.0,0.3,0.5,0.0,30.0,460,4.884,78.7,21.3,34.4,90.0,10.0,37.6
S7_worst,10.0,0.3,0.5,0.0,60.0,460,4.884,85.4,14.6,60.0,90.0,10.0,63.2
S7_worst,10.0,0.3,0.5,0.0,100.0,458,4.884,89.3,10.7,94.0,94.5,5.5,97.1
S7_worst,10.0,0.3,0.5,0.5,30.0,460,4.74,91.5,8.5,34.5,98.3,1.7,37.6
S7_worst,10.0,0.3,0.5,0.5,60.0,460,4.74,92.2,7.8,60.1,94.1,5.9,63.2
S7_worst,10.0,0.3,0.5,0.5,100.0,458,4.74,93.9,6.1,94.1,96.5,3.5,97.2
S7_worst,10.0,0.3,0.5,0.8,30.0,460,4.418,96.7,3.3,34.4,99.3,0.7,37.6
S7_worst,10.0,0.3,0.5,0.8,60.0,459,4.418,96.7,3.3,60.0,98.7,1.3,63.2
S7_worst,10.0,0.3,0.5,0.8,100.0,457,4.418,98.7,1.3,94.1,98.7,1.3,97.3
S7_worst,10.0,0.3,0.5,1.0,30.0,463,4.388,97.0,3.0,34.8,99.4,0.6,37.9
S7_worst,10.0,0.3,0.5,1.0,60.0,463,4.388,96.5,3.5,60.7,98.3,1.7,63.8
S7_worst,10.0,0.3,0.5,1.0,100.0,461,4.388,97.8,2.0,95.2,98.7,1.1,98.4
S7_worst,10.0,0.3,0.5,1.5,30.0,469,4.685,98.5,1.5,34.9,99.6,0.4,38.1
S7_worst,10.0,0.3,0.5,1.5,60.0,468,4.685,97.2,2.8,61.0,97.9,2.1,64.2
S7_worst,10.0,0.3,0.5,1.5,100.0,467,4.685,97.6,2.1,95.9,98.5,1.3,99.0
