scenario,tau_s,var_pct,warm_mult,tau_used_mult,dist_m,n,dir_deg,E3x_cov,E3x_be,E3x_w,E3x2_cov,E3x2_be,E3x2_w
S2a_10,10.0,0.3,0.5,0.8,60.0,480,4.658,100.0,0.0,57.7,100.0,0.0,60.9
S2a_10,10.0,0.3,0.5,0.8,100.0,480,4.658,100.0,0.0,90.6,100.0,0.0,93.8
S2a_10,10.0,0.3,0.5,1.0,30.0,480,4.675,100.0,0.0,33.2,100.0,0.0,36.4
S2a_10,10.0,0.3,0.5,1.0,60.0,480,4.675,100.0,0.0,57.9,100.0,0.0,61.0
S2a_10,10.0,0.3,0.5,1.0,100.0,480,4.675,100.0,0.0,90.8,100.0,0.0,94.0
S2a_10,10.0,0.3,0.5,1.5,30.0,480,4.573,100.0,0.0,33.5,100.0,0.0,36.6
S2a_10,10.0,0.3,0.5,1.5,60.0,480,4.573,100.0,0.0,58.3,100.0,0.0,61.5
S2a_10,10.0,0.3,0.5,1.5,100.0,480,4.573,100.0,0.0,91.5,100.0,0.0,94.7
S2a_20,0.0,0.0,1.0,0.0,30.0,494,10.581,99.6,0.2,31.7,99.8,0.0,34.8
S2a_20,0.0,0.0,1.0,0.0,60.0,494,10.581,99.4,0.6,56.6,99.8,0.2,59.7
S2a_20,0.0,0.0,1.0,0.0,100.0,494,10.581,99.0,1.0,89.7,99.4,0.6,92.8
S2a_20,5.0,0.0,1.0,0.0,30.0,478,26.393,98.1,1.9,34.4,99.0,1.0,37.6
S2a_20,5.0,0.0,1.0,0.0,60.0,472,26.393,98.1,1.9,60.9,99.4,0.6,64.1
S2a_20,5.0,0.0,1.0,0.0,100.0,471,26.393,93.2,6.8,96.3,94.7,5.3,99.4
S2a_20,5.0,0.0,1.0,0.5,30.0,489,8.891,99.6,0.4,32.4,100.0,0.0,35.6
S2a_20,5.0,0.0,1.0,0.5,60.0,489,8.891,99.0,1.0,57.2,99.4,0.6,60.4
S2a_20,5.0,0.0,1.0,0.5,100.0,489,8.891,98.0,2.0,90.2,99.4,0.6,93.4
