model,geom,wind_kmh,ignition_d_m,tau_s,seed,dir_err_nominal,dir_err_local,speed_est,speed_err_nominal_pct,speed_err_local_pct,speed_true_local,estimable,n_nonsink,n_died,t_max
ellipse,head,10.0,30.0,0.0,1,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,2,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,3,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,4,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,5,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,6,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,7,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,8,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,9,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,10,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,11,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,12,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,13,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,14,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,15,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,16,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,17,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,18,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,19,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,20,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,21,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,22,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,23,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,24,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,25,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,26,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,27,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,28,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
ellipse,head,10.0,30.0,0.0,29,9.424775269914486,1.9930041270958196,1.4173383007565243,-5.510779949565045,0.1208831035578349,1.415627046847491,1,15,15,75.76833476006611
