t_max,front,mode,tau_s,n_seeds_valid_speed,n_eta_samples,speed_err_nominal_mean,speed_err_nominal_std,speed_err_nominal_absmean,speed_err_realized_mean,speed_err_realized_std,speed_err_realized_absmean,eta_bias_30_s,eta_mae_30_s,E3x2_cov_30,E3x2_breach_early_30,E3x2_width_30,E3x2_point_mae_30,E3x2c_cov_30,E3x2c_breach_early_30,E3x2c_width_30,E3x2c_point_mae_30,eta_bias_60_s,eta_mae_60_s,E3x2_cov_60,E3x2_breach_early_60,E3x2_width_60,E3x2_point_mae_60,E3x2c_cov_60,E3x2c_breach_early_60,E3x2c_width_60,E3x2c_point_mae_60,eta_bias_100_s,eta_mae_100_s,E3x2_cov_100,E3x2_breach_early_100,E3x2_width_100,E3x2_point_mae_100,E3x2c_cov_100,E3x2c_breach_early_100,E3x2c_width_100,E3x2c_point_mae_100
120.0,curved_S2a10,uniform,10.0,30,1398,8.884,4.469,8.943,8.884,4.469,8.943,-5.073,5.074,100.0,0.0,33.9,5.07,97.6,2.4,33.9,1.85,-7.495,7.506,100.0,0.0,56.8,7.51,96.8,3.2,56.8,3.03,-12.773,12.773,100.0,0.0,87.4,12.77,99.6,0.4,87.4,5.41
120.0,curved_S2a10,uniform,11.0,30,1410,8.093,4.434,8.17,8.093,4.434,8.17,-4.849,4.849,100.0,0.0,34.0,4.85,98.1,1.9,34.0,1.89,-7.212,7.227,100.0,0.0,56.9,7.23,97.2,2.8,56.9,3.03,-12.423,12.423,100.0,0.0,87.5,12.42,99.8,0.2,87.5,5.47
120.0,curved_S2a10,uniform,20.0,30,1404,7.294,3.871,7.318,7.294,3.871,7.318,-2.781,2.84,100.0,0.0,34.1,2.84,98.7,1.3,34.1,1.73,-4.958,5.069,100.0,0.0,56.8,5.07,96.8,3.2,56.8,2.82,-9.9,9.902,100.0,0.0,87.2,9.9,99.4,0.6,87.2,4.93
120.0,curved_S2a10,uniform,30.0,30,1413,7.78,3.748,7.78,7.78,3.748,7.78,-0.94,1.645,96.0,4.0,34.3,1.65,96.2,3.8,34.3,1.67,-3.055,3.57,99.2,0.8,56.9,3.57,93.4,6.6,56.9,2.68,-8.282,8.319,100.0,0.0,86.9,8.32,98.7,1.3,86.9,4.65
120.0,curved_S2a10,uniform,50.0,30,1395,8.058,3.737,8.058,8.058,3.737,8.058,2.56,3.029,33.3,66.7,34.9,3.03,98.1,1.9,34.9,1.99,0.301,3.111,83.7,16.3,57.4,3.11,94.2,5.8,57.4,3.13,-5.015,5.778,99.8,0.2,87.4,5.78,99.6,0.4,87.4,4.9
120.0,curved_S2a10,uniform,78.5,30,1389,8.493,3.6,8.493,8.493,3.6,8.493,7.656,7.725,3.2,96.8,35.9,7.73,98.5,1.5,35.9,2.41,5.109,5.85,24.8,75.2,58.2,5.85,98.5,1.5,58.2,3.48,-0.015,4.981,88.6,11.4,88.0,4.98,99.1,0.9,88.0,5.85
120.0,curved_S2a10,uniform,100.0,30,1404,8.384,3.297,8.384,8.384,3.297,8.384,11.699,11.699,1.5,98.5,36.7,11.7,98.7,1.3,36.7,2.52,9.289,9.292,5.6,94.4,59.1,9.29,96.2,3.8,59.1,3.52,4.419,6.718,49.8,50.2,89.0,6.72,95.1,4.9,89.0,5.74
120.0,curved_S2a10,jitter,11.0,30,1422,12.234,11.085,13.155,12.234,11.085,13.155,-5.731,5.938,98.7,1.3,36.6,5.94,92.4,7.6,36.6,3.47,-8.847,9.276,98.5,1.5,61.6,9.28,91.6,8.4,61.6,5.73,-14.909,15.438,98.7,1.3,95.1,15.44,93.5,6.5,95.1,9.51
120.0,curved_S2a10,jitter,30.0,30,1341,31.535,27.223,32.814,31.535,27.223,32.814,-6.283,7.992,94.6,5.4,42.5,7.99,94.6,5.4,42.5,8.03,-12.593,14.615,96.0,4.0,70.2,14.61,95.1,4.9,70.2,13.16,-22.966,25.111,96.4,3.6,107.6,25.11,95.8,4.2,107.6,21.3
120.0,curved_S2a10,jitter,78.5,30,918,76.512,46.862,76.512,76.512,46.862,76.512,-9.344,11.846,93.0,1.9,52.1,11.85,84.8,0.0,52.1,19.12,-18.392,19.907,98.7,0.0,83.9,19.91,92.7,0.0,83.9,25.98,-32.863,33.69,99.3,0.0,125.7,33.69,94.7,0.0,125.7,37.5
120.0,curved_S2a20,uniform,0.0,30,1482,29.801,17.208,29.924,29.801,17.208,29.924,-15.131,15.144,99.8,0.0,34.5,15.14,96.4,3.6,34.5,5.36,-22.383,22.546,99.8,0.2,59.1,22.55,92.7,7.3,59.1,9.95,-30.721,31.54,99.4,0.6,91.8,31.54,87.9,12.1,91.8,15.99
120.0,curved_S2a20,uniform,2.0,30,1436,24.092,14.25,24.117,24.092,14.25,24.117,-12.349,12.386,100.0,0.0,35.1,12.39,95.9,4.1,35.1,4.84,-17.644,17.823,99.4,0.6,59.8,17.82,91.8,8.2,59.8,8.43,-23.691,24.856,98.3,1.7,92.7,24.86,86.0,14.0,92.7,13.6
120.0,curved_S2a20,uniform,5.0,30,1421,19.783,13.662,20.188,19.783,13.662,20.188,-10.209,10.279,99.0,1.0,36.9,10.28,94.8,5.2,36.9,4.87,-14.778,15.237,99.4,0.6,62.7,15.24,91.5,8.5,62.7,8.43,-19.861,21.858,94.3,5.7,97.2,21.86,87.3,12.7,97.2,13.7
120.0,curved_S2a20,uniform,10.0,30,1460,15.266,10.025,15.49,15.266,10.025,15.49,-7.803,7.981,98.8,1.2,36.7,7.98,95.3,4.7,36.7,4.87,-11.466,12.228,97.3,2.7,61.8,12.23,91.1,8.9,61.8,8.11,-15.37,17.97,92.4,7.6,95.2,17.97,88.2,11.8,95.2,12.99
120.0,curved_S2a20,uniform,11.0,30,1468,15.64,10.638,15.827,15.64,10.638,15.827,-7.33,7.522,98.8,1.2,35.6,7.52,94.5,5.5,35.6,4.71,-10.852,11.604,97.1,2.9,59.9,11.6,91.2,8.8,59.9,7.73,-14.609,17.329,92.2,7.8,92.3,17.33,87.3,12.7,92.3,12.71
120.0,curved_S2a20,uniform,20.0,30,1479,11.522,7.76,11.826,11.522,7.76,11.826,-4.451,4.902,95.9,4.1,35.5,4.9,90.9,9.1,35.5,3.85,-6.621,8.188,92.7,7.3,59.5,8.19,86.4,13.6,59.5,6.36,-8.455,13.498,86.0,14.0,91.5,13.5,76.7,23.3,91.5,11.18
120.0,curved_S2a20,uniform,30.0,30,1473,8.907,6.894,9.76,8.907,6.894,9.76,-1.793,3.443,87.4,12.6,35.4,3.44,87.8,12.2,35.4,3.47,-3.386,6.695,85.1,14.9,58.8,6.69,78.8,21.2,58.8,6.14,-4.218,12.363,75.2,24.8,90.1,12.36,71.1,28.9,90.1,11.11
120.0,curved_S2a20,uniform,50.0,30,1443,5.952,5.362,7.13,5.952,5.362,7.13,2.428,3.856,52.6,47.4,36.5,3.86,87.7,12.3,36.5,3.3,0.712,5.865,72.8,27.2,59.9,5.87,79.6,20.4,59.9,5.88,-0.071,10.824,72.3,27.7,91.2,10.82,70.7,29.3,91.2,10.66
120.0,curved_S2a20,uniform,78.5,30,1461,5.873,5.304,7.031,5.873,5.304,7.031,7.043,7.475,15.8,84.2,37.9,7.48,92.0,8.0,37.9,3.9,5.064,7.086,56.3,43.7,61.4,7.09,86.4,13.6,61.4,5.99,4.22,10.533,71.5,28.5,92.8,10.53,77.6,22.4,92.8,10.21
120.0,curved_S2a20,uniform,100.0,30,1443,6.088,5.337,7.268,6.088,5.337,7.268,10.925,10.933,4.8,95.2,39.1,10.93,92.1,7.9,39.1,4.02,8.391,9.328,31.4,68.6,62.5,9.33,87.5,12.5,62.5,6.35,7.64,11.616,55.5,44.5,93.8,11.62,77.1,22.9,93.8,10.13
120.0,curved_S2a20,jitter,11.0,30,1455,18.928,16.72,19.369,18.928,16.72,19.369,-7.945,8.183,98.6,1.4,37.5,8.18,93.6,6.4,37.5,5.51,-11.888,13.032,96.3,3.7,63.2,13.03,90.3,9.7,63.2,9.51,-16.004,19.017,92.8,7.2,97.5,19.02,87.6,12.4,97.5,14.34
120.0,curved_S2a20,jitter,30.0,30,1353,33.554,26.326,34.041,33.554,26.326,34.041,-7.047,8.661,96.7,3.3,42.4,8.66,96.7,3.3,42.4,8.7,-12.388,15.177,95.8,4.2,70.4,15.18,93.3,6.7,70.4,13.85,-18.663,24.124,94.2,5.8,107.5,24.12,91.8,8.2,107.5,21.2
120.0,curved_S2a20,jitter,78.5,30,1035,73.904,43.23,73.904,73.904,43.23,73.904,-9.755,11.731,95.1,3.7,49.8,11.73,87.4,0.3,49.8,19.49,-19.626,21.047,96.3,2.3,79.1,21.05,94.0,0.3,79.1,27.28,-29.132,31.429,97.0,1.8,119.0,31.43,96.1,1.5,119.0,35.07
400.0,straight_S1,uniform,0.0,30,1440,-0.096,0.0,0.096,-0.096,0.0,0.096,-10.586,10.586,100.0,0.0,33.4,10.59,100.0,0.0,33.4,4.24,-15.07,15.07,100.0,0.0,57.0,15.07,100.0,0.0,57.0,8.73,-21.051,21.051,100.0,0.0,88.5,21.05,100.0,0.0,88.5,14.71
400.0,straight_S1,uniform,2.0,30,1350,1.005,0.0,1.005,1.005,0.0,1.005,-8.349,8.349,100.0,0.0,33.0,8.35,100.0,0.0,33.0,2.88,-11.906,11.906,100.0,0.0,55.7,11.91,100.0,0.0,55.7,5.77,-16.652,16.652,100.0,0.0,86.0,16.65,100.0,0.0,86.0,9.63
400.0,straight_S1,uniform,5.0,30,1350,2.17,0.0,2.17,2.17,0.0,2.17,-6.126,6.126,100.0,0.0,32.1,6.13,100.0,0.0,32.1,2.14,-8.875,8.875,100.0,0.0,53.8,8.87,100.0,0.0,53.8,4.15,-12.539,12.539,100.0,0.0,82.6,12.54,100.0,0.0,82.6,6.84
