t_max,front,mode,tau_s,n_seeds_valid_speed,n_eta_samples,speed_err_nominal_mean,speed_err_nominal_std,speed_err_nominal_absmean,speed_err_realized_mean,speed_err_realized_std,speed_err_realized_absmean,eta_bias_30_s,eta_mae_30_s,E3x2_cov_30,E3x2_breach_early_30,E3x2_width_30,E3x2_point_mae_30,E3x2c_cov_30,E3x2c_breach_early_30,E3x2c_width_30,E3x2c_point_mae_30,eta_bias_60_s,eta_mae_60_s,E3x2_cov_60,E3x2_breach_early_60,E3x2_width_60,E3x2_point_mae_60,E3x2c_cov_60,E3x2c_breach_early_60,E3x2c_width_60,E3x2c_point_mae_60,eta_bias_100_s,eta_mae_100_s,E3x2_cov_100,E3x2_breach_early_100,E3x2_width_100,E3x2_point_mae_100,E3x2c_cov_100,E3x2c_breach_early_100,E3x2c_width_100,E3x2c_point_mae_100
400.0,straight_S1,uniform,10.0,30,1440,1.219,0.0,1.219,1.219,0.0,1.219,-3.697,3.697,100.0,0.0,31.2,3.7,100.0,0.0,31.2,1.59,-5.71,5.71,100.0,0.0,51.8,5.71,100.0,0.0,51.8,3.0,-8.394,8.394,100.0,0.0,79.3,8.39,100.0,0.0,79.3,4.88
400.0,straight_S1,uniform,11.0,30,1350,1.219,0.0,1.219,1.219,0.0,1.219,-3.361,3.361,100.0,0.0,31.3,3.36,100.0,0.0,31.3,1.48,-5.298,5.298,100.0,0.0,52.0,5.3,100.0,0.0,52.0,2.79,-7.88,7.88,100.0,0.0,79.7,7.88,100.0,0.0,79.7,4.52
400.0,straight_S1,uniform,20.0,30,1350,2.28,0.0,2.28,2.28,0.0,2.28,-1.554,1.676,100.0,0.0,31.4,1.68,100.0,0.0,31.4,1.44,-3.455,3.455,100.0,0.0,52.1,3.45,100.0,0.0,52.1,2.61,-5.989,5.989,100.0,0.0,79.6,5.99,100.0,0.0,79.6,4.17
400.0,straight_S1,uniform,30.0,30,1350,2.17,0.0,2.17,2.17,0.0,2.17,0.064,1.79,100.0,0.0,31.9,1.79,100.0,0.0,31.9,1.78,-2.077,3.18,100.0,0.0,52.7,3.18,100.0,0.0,52.7,3.11,-4.932,5.599,100.0,0.0,80.5,5.6,100.0,0.0,80.5,4.89
400.0,straight_S1,uniform,50.0,30,1350,2.652,0.0,2.652,2.652,0.0,2.652,3.726,3.757,13.3,86.7,32.1,3.76,100.0,0.0,32.1,2.01,1.411,3.473,100.0,0.0,52.8,3.47,100.0,0.0,52.8,3.32,-1.675,4.951,100.0,0.0,80.3,4.95,100.0,0.0,80.3,5.06
400.0,straight_S1,uniform,78.5,30,1350,3.137,0.0,3.137,3.137,0.0,3.137,9.426,9.426,0.0,100.0,33.1,9.43,100.0,0.0,33.1,2.51,7.178,7.204,6.7,93.3,54.0,7.2,100.0,0.0,54.0,3.84,4.18,6.699,93.3,6.7,81.8,6.7,100.0,0.0,81.8,5.62
400.0,straight_S1,uniform,100.0,30,1440,3.362,0.0,3.362,3.362,0.0,3.362,13.279,13.279,0.0,100.0,33.3,13.28,100.0,0.0,33.3,3.09,10.861,10.861,0.0,100.0,54.1,10.86,100.0,0.0,54.1,4.57,7.637,9.244,25.0,75.0,81.8,9.24,100.0,0.0,81.8,6.53
400.0,straight_S1,jitter,11.0,30,1410,10.39,7.717,10.896,10.39,7.717,10.896,-4.645,5.003,96.6,3.4,35.2,5.0,88.7,11.3,35.2,2.95,-7.529,8.18,96.6,3.4,59.3,8.18,89.4,10.6,59.3,5.01,-11.553,12.601,96.6,3.4,91.3,12.6,89.6,10.4,91.3,7.93
400.0,straight_S1,jitter,30.0,30,1350,33.616,30.048,34.769,33.616,30.048,34.769,-5.692,7.849,94.0,6.0,41.5,7.85,94.0,6.0,41.5,7.89,-11.606,14.281,94.4,5.6,69.3,14.28,94.0,6.0,69.3,12.85,-20.1,23.278,94.9,5.1,105.6,23.28,94.0,6.0,105.6,19.72
400.0,straight_S1,jitter,78.5,30,1004,71.717,50.507,72.139,71.717,50.507,72.139,-10.305,14.039,92.1,3.0,49.1,14.04,83.4,1.5,49.1,21.25,-21.662,25.246,94.7,1.5,78.0,25.25,91.2,1.5,78.0,31.26,-36.026,40.029,98.2,1.5,117.4,40.03,94.6,1.5,117.4,43.63
400.0,curved_S2a10,uniform,0.0,30,1428,16.313,8.628,16.33,16.313,8.628,16.33,-12.637,12.637,100.0,0.0,34.4,12.64,98.7,1.3,34.4,3.29,-18.402,18.402,100.0,0.0,59.0,18.4,98.3,1.7,59.0,6.39,-27.824,27.824,100.0,0.0,91.9,27.82,99.6,0.4,91.9,10.74
400.0,curved_S2a10,uniform,2.0,30,1419,14.657,7.482,14.721,14.657,7.482,14.721,-10.208,10.208,100.0,0.0,34.1,10.21,98.7,1.3,34.1,2.64,-14.752,14.752,100.0,0.0,58.0,14.75,98.5,1.5,58.0,4.87,-22.645,22.647,100.0,0.0,89.8,22.65,99.6,0.4,89.8,8.29
400.0,curved_S2a10,uniform,5.0,30,1395,11.399,6.435,11.412,11.399,6.435,11.412,-7.741,7.741,100.0,0.0,34.0,7.74,96.8,3.2,34.0,2.2,-11.199,11.203,100.0,0.0,57.3,11.2,95.3,4.7,57.3,3.81,-17.79,17.79,100.0,0.0,88.4,17.79,98.5,1.5,88.4,6.66
400.0,curved_S2a10,uniform,10.0,30,1398,8.884,4.469,8.943,8.884,4.469,8.943,-5.073,5.074,100.0,0.0,33.9,5.07,97.6,2.4,33.9,1.85,-7.495,7.506,100.0,0.0,56.8,7.51,96.8,3.2,56.8,3.03,-12.773,12.773,100.0,0.0,87.4,12.77,99.6,0.4,87.4,5.41
400.0,curved_S2a10,uniform,11.0,30,1410,8.093,4.434,8.17,8.093,4.434,8.17,-4.849,4.849,100.0,0.0,34.0,4.85,98.1,1.9,34.0,1.89,-7.212,7.227,100.0,0.0,56.9,7.23,97.2,2.8,56.9,3.03,-12.423,12.423,100.0,0.0,87.5,12.42,99.8,0.2,87.5,5.47
400.0,curved_S2a10,uniform,20.0,30,1404,7.294,3.871,7.318,7.294,3.871,7.318,-2.781,2.84,100.0,0.0,34.1,2.84,98.7,1.3,34.1,1.73,-4.958,5.069,100.0,0.0,56.8,5.07,96.8,3.2,56.8,2.82,-9.9,9.902,100.0,0.0,87.2,9.9,99.4,0.6,87.2,4.93
400.0,curved_S2a10,uniform,30.0,30,1413,7.78,3.748,7.78,7.78,3.748,7.78,-0.94,1.645,96.0,4.0,34.3,1.65,96.2,3.8,34.3,1.67,-3.055,3.57,99.2,0.8,56.9,3.57,93.4,6.6,56.9,2.68,-8.282,8.319,100.0,0.0,86.9,8.32,98.7,1.3,86.9,4.65
400.0,curved_S2a10,uniform,50.0,30,1395,8.058,3.737,8.058,8.058,3.737,8.058,2.56,3.029,33.3,66.7,34.9,3.03,98.1,1.9,34.9,1.99,0.301,3.111,83.7,16.3,57.4,3.11,94.2,5.8,57.4,3.13,-5.015,5.778,99.8,0.2,87.4,5.78,99.6,0.4,87.4,4.9
400.0,curved_S2a10,uniform,78.5,30,1389,8.493,3.6,8.493,8.493,3.6,8.493,7.656,7.725,3.2,96.8,35.9,7.73,98.5,1.5,35.9,2.41,5.109,5.85,24.8,75.2,58.2,5.85,98.5,1.5,58.2,3.48,-0.015,4.981,88.6,11.4,88.0,4.98,99.1,0.9,88.0,5.85
400.0,curved_S2a10,uniform,100.0,30,1404,8.384,3.297,8.384,8.384,3.297,8.384,11.699,11.699,1.5,98.5,36.7,11.7,98.7,1.3,36.7,2.52,9.289,9.292,5.6,94.4,59.1,9.29,96.2,3.8,59.1,3.52,4.419,6.718,49.8,50.2,89.0,6.72,95.1,4.9,89.0,5.74
400.0,curved_S2a10,jitter,11.0,30,1422,12.234,11.085,13.155,12.234,11.085,13.155,-5.731,5.938,98.7,1.3,36.6,5.94,92.4,7.6,36.6,3.47,-8.847,9.276,98.5,1.5,61.6,9.28,91.6,8.4,61.6,5.73,-14.909,15.438,98.7,1.3,95.1,15.44,93.5,6.5,95.1,9.51
400.0,curved_S2a10,jitter,30.0,30,1341,31.535,27.223,32.814,31.535,27.223,32.814,-6.283,7.992,94.6,5.4,42.5,7.99,94.6,5.4,42.5,8.03,-12.593,14.615,96.0,4.0,70.2,14.61,95.1,4.9,70.2,13.16,-22.966,25.111,96.4,3.6,107.6,25.11,95.8,4.2,107.6,21.3
400.0,curved_S2a10,jitter,78.5,30,918,76.512,46.862,76.512,76.512,46.862,76.512,-9.344,11.846,93.0,1.9,52.1,11.85,84.8,0.0,52.1,19.12,-18.392,19.907,98.7,0.0,83.9,19.91,92.7,0.0,83.9,25.98,-32.863,33.69,99.3,0.0,125.7,33.69,94.7,0.0,125.7,37.5
400.0,curved_S2a20,uniform,0.0,30,1482,29.801,17.208,29.924,29.801,17.208,29.924,-15.131,15.144,99.8,0.0,34.5,15.14,96.4,3.6,34.5,5.36,-22.383,22.546,99.8,0.2,59.1,22.55,92.7,7.3,59.1,9.95,-30.721,31.54,99.4,0.6,91.8,31.54,87.9,12.1,91.8,15.99
400.0,curved_S2a20,uniform,2.0,30,1436,24.092,14.25,24.117,24.092,14.25,24.117,-12.349,12.386,100.0,0.0,35.1,12.39,95.9,4.1,35.1,4.84,-17.644,17.823,99.4,0.6,59.8,17.82,91.8,8.2,59.8,8.43,-23.691,24.856,98.3,1.7,92.7,24.86,86.0,14.0,92.7,13.6
400.0,curved_S2a20,uniform,5.0,30,1421,19.783,13.662,20.188,19.783,13.662,20.188,-10.209,10.279,99.0,1.0,36.9,10.28,94.8,5.2,36.9,4.87,-14.778,15.237,99.4,0.6,62.7,15.24,91.5,8.5,62.7,8.43,-19.861,21.858,94.3,5.7,97.2,21.86,87.3,12.7,97.2,13.7
400.0,curved_S2a20,uniform,10.0,30,1460,15.266,10.025,15.49,15.266,10.025,15.49,-7.803,7.981,98.8,1.2,36.7,7.98,95.3,4.7,36.7,4.87,-11.466,12.228,97.3,2.7,61.8,12.23,91.1,8.9,61.8,8.11,-15.37,17.97,92.4,7.6,95.2,17.97,88.2,11.8,95.2,12.99
400.0,curved_S2a20,uniform,11.0,30,1468,15.64,10.638,15.827,15.64,10.638,15.827,-7.33,7.522,98.8,1.2,35.6,7.52,94.5,5.5,35.6,4.71,-10.852,11.604,97.1,2.9,59.9,11.6,91.2,8.8,59.9,7.73,-14.609,17.329,92.2,7.8,92.3,17.33,87.3,12.7,92.3,12.71
400.0,curved_S2a20,uniform,20.0,30,1479,11.522,7.76,11.826,11.522,7.76,11.826,-4.451,4.902,95.9,4.1,35.5,4.9,90.9,9.1,35.5,3.85,-6.621,8.188,92.7,7.3,59.5,8.19,86.4,13.6,59.5,6.36,-8.455,13.498,86.0,14.0,91.5,13.5,76.7,23.3,91.5,11.18
400.0,curved_S2a20,uniform,30.0,30,1473,8.907,6.894,9.76,8.907,6.894,9.76,-1.793,3.443,87.4,12.6,35.4,3.44,87.8,12.2,35.4,3.47,-3.386,6.695,85.1,14.9,58.8,6.69,78.8,21.2,58.8,6.14,-4.218,12.363,75.2,24.8,90.1,12.36,71.1,28.9,90.1,11.11
400.0,curved_S2a20,uniform,50.0,30,1443,5.952,5.362,7.13,5.952,5.362,7.13,2.428,3.856,52.6,47.4,36.5,3.86,87.7,12.3,36.5,3.3,0.712,5.865,72.8,27.2,59.9,5.87,79.6,20.4,59.9,5.88,-0.071,10.824,72.3,27.7,91.2,10.82,70.7,29.3,91.2,10.66
400.0,curved_S2a20,uniform,78.5,30,1461,5.873,5.304,7.031,5.873,5.304,7.031,7.043,7.475,15.8,84.2,37.9,7.48,92.0,8.0,37.9,3.9,5.064,7.086,56.3,43.7,61.4,7.09,86.4,13.6,61.4,5.99,4.22,10.533,71.5,28.5,92.8,10.53,77.6,22.4,92.8,10.21
