scenario,level,level_label,n_seeds,dir_err_deg_mean,dir_err_deg_std,speed_err_pct_mean,speed_err_pct_std,eta_err_s_mean,eta_err_s_std,delivery_rate_mean,delivery_rate_std,fp_rate_mean,fp_rate_std,detect_lag_s_mean,detect_lag_s_std,coverage_mean,coverage_std,reroute_ms_mean_mean,reroute_ms_mean_std,nonfire_injected_mean,nonfire_injected_std,nonfire_confirmed_mean,nonfire_confirmed_std,nonfire_pollution_rate_mean,nonfire_pollution_rate_std,nonfire_actual_mean,nonfire_actual_std,nonfire_actual_confirmed_mean,nonfire_actual_confirmed_std,nonfire_pollution_rate_actual_mean,nonfire_pollution_rate_actual_std,nonfire_actual_total,nonfire_actual_confirmed_total,nonfire_pollution_pooled
S11off,0,nonfire_0,30,2.115,0.0,0.096,0.0,6.334,0.0,0.9697,0.0203,0.0,0.0,2.769,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
S11off,2,nonfire_2,30,5.2479,7.6495,11.0919,23.5608,8.8048,6.0529,0.9655,0.0225,0.0,0.0,2.7535,0.0242,1.0,0.0,100.0,0.0,2.0,0.0,1.9667,0.1795,0.9833,0.0898,0.7667,0.6155,0.7667,0.6155,0.6667,0.4714,23,23,1.0
S11off,4,nonfire_4,30,6.753,8.0317,20.3193,21.5128,9.6103,5.1138,0.9664,0.0253,0.0,0.0,2.7516,0.0221,0.9947,0.02,100.0,0.0,4.0,0.0,3.6333,0.6046,0.9083,0.1512,1.4667,0.9214,1.2333,0.8825,0.7583,0.4004,44,37,0.8409
S11off,8,nonfire_8,30,15.4948,17.1701,33.4729,36.8763,10.3591,5.8031,0.956,0.031,0.0,0.0,2.7496,0.034,0.9869,0.0293,100.0,0.0,8.0,0.0,7.2333,0.8439,0.9042,0.1055,2.7333,1.1813,2.2,1.4,0.7222,0.3729,82,66,0.8049
