label,seed,estimable,n_pernode,n_deaths,R1,R2,R3,R4_med,R4_max,R5_simple,max_weight_pct,n_R4
★결정적: 타원 flank W10 d30,1,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,2,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,3,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,4,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,5,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,6,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,7,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,8,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,9,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,10,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,11,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,12,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,13,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,14,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
★결정적: 타원 flank W10 d30,15,1,9,14,174.00690406998993,81.81339806326216,77.890120711201,1.3477592888804553,85.21148993700525,5.4952285022164045,86.4,9
타원 flank W10 d60,1,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,2,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,3,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,4,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,5,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,6,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,7,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,8,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,9,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,10,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,11,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,12,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,13,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,14,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
타원 flank W10 d60,15,1,3,14,164.84937568718846,85.72320309807321,82.48897722796063,82.24952525368025,178.1307073562072,82.33919757009257,97.9,3
대조: 타원 head W10 d30,1,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,2,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,3,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,4,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,5,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,6,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,7,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,8,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,9,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,10,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,11,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,12,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,13,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,14,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W10 d30,15,1,13,13,9.424775269914486,1.9930041270958196,0.421181601849483,10.991103995177337,19.15235908099133,0.024337520282032427,8.3,13
대조: 타원 head W50 d30,1,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,2,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,3,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,4,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,5,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,6,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,7,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,8,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,9,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,10,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,11,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,12,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,13,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,14,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 타원 head W50 d30,15,1,5,14,54.425527718946924,129.98082503467714,117.42568507673451,46.47150263097628,155.0960274081403,112.80866733439883,42.7,5
대조: 직선 S1 (R1=R2=R3이어야 함),1,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),2,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),3,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),4,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),5,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),6,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),7,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),8,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),9,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),10,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),11,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),12,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),13,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),14,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 직선 S1 (R1=R2=R3이어야 함),15,1,13,13,2.115247425243427,2.115247425243254,2.115247425243427,0.3616163118484856,9.041114774388618,1.7368949606935957,10.0,13
대조: 곡선 S2a20,1,1,12,13,2.5277243673937173,1.014738189815724,0.23490313537415278,18.374256172562298,49.84696743899975,2.1116877586318026,10.5,12
대조: 곡선 S2a20,2,1,13,14,2.0687830855713196,6.578033272459702,5.409213427718961,25.956344785961694,47.613175606154535,6.136947422243401,11.4,13
대조: 곡선 S2a20,3,1,11,13,3.3174828068986986,6.014165327594955,11.484949261481612,20.602222852676018,59.53649938627404,6.837678899573024,13.5,11
대조: 곡선 S2a20,4,1,13,14,3.5435836598571373,3.3856371555383693,2.302446256124009,19.67799650979029,54.30375323609947,0.6013891266816466,12.5,13
대조: 곡선 S2a20,5,1,13,13,15.159632663787749,1.2173939295656928,0.4116070124300985,7.0943550532414905,28.938080094835094,0.352642034366768,11.7,13
대조: 곡선 S2a20,6,1,13,13,5.86795153472072,8.948352506129083,7.627739080443401,22.134358624845124,67.67426163019384,11.01899868583315,14.7,13
대조: 곡선 S2a20,7,1,13,13,29.674439551649108,18.377600998023716,15.337787485565029,10.329122416167152,50.95676565505043,15.113384292942932,11.1,13
대조: 곡선 S2a20,8,1,14,14,1.3815188928112134,7.099044511827528,4.600412193744917,19.80601377188883,48.09705259650391,6.021142151788825,14.5,14
대조: 곡선 S2a20,9,1,12,13,3.3476931274813486,1.8056093677301854,1.3764205850377296,26.370287360296786,53.356016166369045,2.309901505428695,12.1,12
대조: 곡선 S2a20,10,1,13,13,13.705030313633698,13.650163327430644,12.606891219976555,13.715620894528557,49.5688444377313,12.159233811992229,11.3,13
대조: 곡선 S2a20,11,1,13,13,4.288238460247407,9.061355558857594,14.766320285448753,16.064852959509437,56.95713683440662,13.221496380615099,11.7,13
대조: 곡선 S2a20,12,1,13,13,31.43694611873844,29.29561048357238,23.221021360171612,22.001204228323044,73.73955767861821,8.557625673613508,23.1,13
대조: 곡선 S2a20,13,1,12,13,4.446747769944572,1.4896181996329418,1.1989355071132142,21.08027627100819,46.584998230637105,0.4929751257295368,11.4,12
대조: 곡선 S2a20,14,1,13,14,21.356317922586147,19.20687629970475,14.435166597032447,12.508491118333408,45.0174905753208,11.066528673284301,10.7,13
대조: 곡선 S2a20,15,1,13,14,22.91348284359486,13.38835208011391,13.572985301966298,26.503958009409153,40.494500623796334,13.01899646719775,9.2,13
