t_max,front,mode,tau_s,seed,dir_err_deg,speed_est_ms,speed_err_pct,speed_err_ms,n_pernode,eta_err_30_s,eta_err_60_s,eta_err_100_s
120.0,straight_S1,uniform,0.0,1,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,2,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,3,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,4,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,5,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,6,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,7,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,8,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,9,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,10,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,11,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,12,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,13,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,14,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,15,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,16,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,17,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,18,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,19,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
120.0,straight_S1,uniform,0.0,20,2.115247425243427,1.498558331075938,-0.09611126160412967,-0.0014416689240619451,13,-10.585613109074007,-15.07041407873087,-21.050609708541387
