arm,scenario,threshold_C,tau_s,peak_C,miss_rate_mean,miss_rate_std,blind_rate_mean,n_confirmed_mean,excluded_nonfire_mean,dir_ok_rate,exposed_mean
warn_fixed,S1,50.0,78.5,300.0,6.67,0.0,100.0,0.0,14.0,0.0,15.0
warn_fixed,S1,50.0,78.5,500.0,0.0,0.0,100.0,0.0,13.0,0.0,15.0
warn_fixed,S1,50.0,100.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,50.0,100.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,50.0,100.0,300.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,50.0,100.0,500.0,0.0,0.0,100.0,0.0,13.0,0.0,15.0
warn_fixed,S1,60.0,11.0,150.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,60.0,11.0,200.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,60.0,11.0,300.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,60.0,11.0,500.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,60.0,30.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,60.0,30.0,200.0,6.67,0.0,6.67,14.0,0.0,100.0,15.0
warn_fixed,S1,60.0,30.0,300.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,60.0,30.0,500.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,60.0,50.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,60.0,50.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,60.0,50.0,300.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,60.0,50.0,500.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,60.0,78.5,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,60.0,78.5,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,60.0,78.5,300.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,60.0,78.5,500.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,60.0,100.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,60.0,100.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,60.0,100.0,300.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,60.0,100.0,500.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,70.0,11.0,150.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,70.0,11.0,200.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,70.0,11.0,300.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,70.0,11.0,500.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,70.0,30.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,70.0,30.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,70.0,30.0,300.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,70.0,30.0,500.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,70.0,50.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,70.0,50.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,70.0,50.0,300.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,70.0,50.0,500.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,70.0,78.5,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,70.0,78.5,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,70.0,78.5,300.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,70.0,78.5,500.0,6.67,0.0,6.67,14.0,0.0,100.0,15.0
warn_fixed,S1,70.0,100.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,70.0,100.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,70.0,100.0,300.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,70.0,100.0,500.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,11.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,11.0,200.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,80.0,11.0,300.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,80.0,11.0,500.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,80.0,30.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,30.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,30.0,300.0,6.67,0.0,6.67,14.0,0.0,100.0,15.0
warn_fixed,S1,80.0,30.0,500.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,80.0,50.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,50.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,50.0,300.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,50.0,500.0,0.0,0.0,13.33,13.0,0.0,100.0,15.0
warn_fixed,S1,80.0,78.5,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,78.5,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,78.5,300.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,78.5,500.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,100.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,100.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,100.0,300.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S1,80.0,100.0,500.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,40.0,11.0,150.0,0.0,0.0,100.0,0.0,13.25,0.0,15.0
warn_fixed,S2a_10,40.0,11.0,200.0,0.0,0.0,100.0,0.0,13.2,0.0,15.0
warn_fixed,S2a_10,40.0,11.0,300.0,0.0,0.0,100.0,0.0,13.3,0.0,15.0
warn_fixed,S2a_10,40.0,11.0,500.0,0.0,0.0,100.0,0.0,13.15,0.0,15.0
warn_fixed,S2a_10,40.0,30.0,150.0,0.0,0.0,100.0,0.0,13.1,0.0,15.0
warn_fixed,S2a_10,40.0,30.0,200.0,0.0,0.0,100.0,0.0,13.3,0.0,15.0
warn_fixed,S2a_10,40.0,30.0,300.0,0.0,0.0,100.0,0.0,13.25,0.0,15.0
warn_fixed,S2a_10,40.0,30.0,500.0,0.0,0.0,100.0,0.0,13.2,0.0,15.0
warn_fixed,S2a_10,40.0,50.0,150.0,2.0,3.06,100.0,0.0,13.05,0.0,15.0
warn_fixed,S2a_10,40.0,50.0,200.0,0.0,0.0,100.0,0.0,13.15,0.0,15.0
warn_fixed,S2a_10,40.0,50.0,300.0,0.0,0.0,100.0,0.0,13.3,0.0,15.0
warn_fixed,S2a_10,40.0,50.0,500.0,0.0,0.0,100.0,0.0,13.3,0.0,15.0
warn_fixed,S2a_10,40.0,78.5,150.0,91.67,5.53,100.0,0.0,1.25,0.0,15.0
warn_fixed,S2a_10,40.0,78.5,200.0,2.33,3.82,100.0,0.0,13.05,0.0,15.0
warn_fixed,S2a_10,40.0,78.5,300.0,0.0,0.0,100.0,0.0,13.15,0.0,15.0
warn_fixed,S2a_10,40.0,78.5,500.0,0.0,0.0,100.0,0.0,13.4,0.0,15.0
warn_fixed,S2a_10,40.0,100.0,150.0,99.67,1.45,100.0,0.0,0.05,0.0,15.0
warn_fixed,S2a_10,40.0,100.0,200.0,43.0,7.14,100.0,0.0,8.55,0.0,15.0
warn_fixed,S2a_10,40.0,100.0,300.0,0.0,0.0,100.0,0.0,13.15,0.0,15.0
warn_fixed,S2a_10,40.0,100.0,500.0,0.0,0.0,100.0,0.0,13.3,0.0,15.0
warn_fixed,S2a_10,45.0,11.0,150.0,0.0,0.0,100.0,0.0,13.4,0.0,15.0
warn_fixed,S2a_10,45.0,11.0,200.0,0.0,0.0,100.0,0.0,13.25,0.0,15.0
warn_fixed,S2a_10,45.0,11.0,300.0,0.0,0.0,100.0,0.0,13.2,0.0,15.0
warn_fixed,S2a_10,45.0,11.0,500.0,0.0,0.0,100.0,0.0,13.15,0.0,15.0
warn_fixed,S2a_10,45.0,30.0,150.0,0.0,0.0,100.0,0.0,13.15,0.0,15.0
warn_fixed,S2a_10,45.0,30.0,200.0,0.0,0.0,100.0,0.0,13.25,0.0,15.0
warn_fixed,S2a_10,45.0,30.0,300.0,0.0,0.0,100.0,0.0,13.4,0.0,15.0
warn_fixed,S2a_10,45.0,30.0,500.0,0.0,0.0,100.0,0.0,13.15,0.0,15.0
warn_fixed,S2a_10,45.0,50.0,150.0,74.67,5.81,100.0,0.0,3.8,0.0,15.0
warn_fixed,S2a_10,45.0,50.0,200.0,0.67,2.0,100.0,0.0,13.1,0.0,15.0
warn_fixed,S2a_10,45.0,50.0,300.0,0.0,0.0,100.0,0.0,13.25,0.0,15.0
warn_fixed,S2a_10,45.0,50.0,500.0,0.0,0.0,100.0,0.0,13.35,0.0,15.0
warn_fixed,S2a_10,45.0,78.5,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,45.0,78.5,200.0,82.33,7.68,100.0,0.0,2.65,0.0,15.0
warn_fixed,S2a_10,45.0,78.5,300.0,0.0,0.0,100.0,0.0,13.1,0.0,15.0
warn_fixed,S2a_10,45.0,78.5,500.0,0.0,0.0,100.0,0.0,13.35,0.0,15.0
warn_fixed,S2a_10,45.0,100.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,45.0,100.0,200.0,99.0,2.38,100.0,0.0,0.15,0.0,15.0
warn_fixed,S2a_10,45.0,100.0,300.0,4.0,3.89,100.0,0.0,13.45,0.0,15.0
warn_fixed,S2a_10,45.0,100.0,500.0,0.0,0.0,100.0,0.0,13.2,0.0,15.0
warn_fixed,S2a_10,50.0,11.0,150.0,0.0,0.0,100.0,0.0,13.3,0.0,15.0
warn_fixed,S2a_10,50.0,11.0,200.0,0.0,0.0,100.0,0.0,13.3,0.0,15.0
warn_fixed,S2a_10,50.0,11.0,300.0,0.0,0.0,100.0,0.0,13.2,0.0,15.0
warn_fixed,S2a_10,50.0,11.0,500.0,0.0,0.0,100.0,0.0,13.25,0.0,15.0
warn_fixed,S2a_10,50.0,30.0,150.0,16.67,4.47,100.0,0.0,12.5,0.0,15.0
warn_fixed,S2a_10,50.0,30.0,200.0,0.0,0.0,100.0,0.0,13.05,0.0,15.0
warn_fixed,S2a_10,50.0,30.0,300.0,0.0,0.0,100.0,0.0,13.35,0.0,15.0
warn_fixed,S2a_10,50.0,30.0,500.0,0.0,0.0,100.0,0.0,13.2,0.0,15.0
warn_fixed,S2a_10,50.0,50.0,150.0,98.33,3.57,100.0,0.0,0.25,0.0,15.0
warn_fixed,S2a_10,50.0,50.0,200.0,25.0,7.85,100.0,0.0,11.25,0.0,15.0
warn_fixed,S2a_10,50.0,50.0,300.0,0.0,0.0,100.0,0.0,13.05,0.0,15.0
warn_fixed,S2a_10,50.0,50.0,500.0,0.0,0.0,100.0,0.0,13.4,0.0,15.0
warn_fixed,S2a_10,50.0,78.5,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,50.0,78.5,200.0,99.0,2.38,100.0,0.0,0.15,0.0,15.0
warn_fixed,S2a_10,50.0,78.5,300.0,5.33,4.0,100.0,0.0,13.4,0.0,15.0
warn_fixed,S2a_10,50.0,78.5,500.0,0.0,0.0,100.0,0.0,13.1,0.0,15.0
warn_fixed,S2a_10,50.0,100.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,50.0,100.0,200.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,50.0,100.0,300.0,75.0,6.62,100.0,0.0,3.75,0.0,15.0
warn_fixed,S2a_10,50.0,100.0,500.0,0.0,0.0,100.0,0.0,13.1,0.0,15.0
warn_fixed,S2a_10,60.0,11.0,150.0,0.33,1.45,12.67,13.1,0.0,100.0,15.0
warn_fixed,S2a_10,60.0,11.0,200.0,0.0,0.0,11.33,13.3,0.0,100.0,15.0
warn_fixed,S2a_10,60.0,11.0,300.0,0.0,0.0,11.33,13.3,0.0,100.0,15.0
warn_fixed,S2a_10,60.0,11.0,500.0,0.0,0.0,12.0,13.2,0.0,100.0,15.0
warn_fixed,S2a_10,60.0,30.0,150.0,98.0,3.71,98.0,0.3,0.0,0.0,15.0
warn_fixed,S2a_10,60.0,30.0,200.0,16.67,4.47,16.67,12.5,0.0,100.0,15.0
warn_fixed,S2a_10,60.0,30.0,300.0,0.0,0.0,12.67,13.1,0.0,100.0,15.0
warn_fixed,S2a_10,60.0,30.0,500.0,0.0,0.0,11.0,13.35,0.0,100.0,15.0
warn_fixed,S2a_10,60.0,50.0,150.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0
warn_fixed,S2a_10,60.0,50.0,200.0,98.33,3.57,98.33,0.25,0.0,0.0,15.0
warn_fixed,S2a_10,60.0,50.0,300.0,3.33,3.94,11.33,13.3,0.0,100.0,15.0
warn_fixed,S2a_10,60.0,50.0,500.0,0.0,0.0,11.67,13.25,0.0,100.0,15.0
