scenario,level,level_label,n_seeds,dir_err_deg_mean,dir_err_deg_std,speed_err_pct_mean,speed_err_pct_std,eta_err_s_mean,eta_err_s_std,delivery_rate_mean,delivery_rate_std,fp_rate_mean,fp_rate_std,detect_lag_s_mean,detect_lag_s_std,coverage_mean,coverage_std,reroute_ms_mean_mean,reroute_ms_mean_std
S6,9,n9,30,4.324,0.0,34.549,0.0,7.554,0.0,0.9383,0.043,0.0,0.0,2.8,0.0,1.0,0.0,100.0,0.0
S6,12,n12,30,2.868,0.0,0.558,0.0,6.434,0.0,0.917,0.0352,0.0,0.0,2.7655,0.0081,1.0,0.0,100.0,0.0
S6,16,n16,30,2.115,0.0,0.096,0.0,6.334,0.0,0.9209,0.0356,0.0,0.0,2.768,0.0056,1.0,0.0,100.0,0.0
S6,20,n20,30,1.568,0.0,0.089,0.0,6.394,0.0,0.8887,0.0482,0.0,0.0,2.7638,0.0065,1.0,0.0,100.0,0.0
S6,25,n25,30,1.227,0.0,0.089,0.0,6.341,0.0,0.8821,0.0478,0.0,0.0,2.7718,0.0052,1.0,0.0,100.0,0.0
