dir_index,origin_deg,origin_x,origin_y,truth_center_deg,rep,sigma_s,dir_global_deg,err_deg,n_local,fake
0,0.0,0.8024,0.3015,180.0,0,12.13,179.6393707891731,0.36062921082691446,16,1
0,0.0,0.8024,0.3015,180.0,1,12.13,179.69047572962134,0.309524270378688,16,1
0,0.0,0.8024,0.3015,180.0,2,12.13,179.72479176523416,0.27520823476584155,16,1
0,0.0,0.8024,0.3015,180.0,3,12.13,179.54404539611775,0.4559546038822191,16,1
0,0.0,0.8024,0.3015,180.0,4,12.13,179.3561002794312,0.6438997205688111,16,1
0,0.0,0.8024,0.3015,180.0,5,12.13,180.1935632392993,0.1935632392992943,16,1
0,0.0,0.8024,0.3015,180.0,6,12.13,180.0953551380377,0.09535513803768936,16,1
0,0.0,0.8024,0.3015,180.0,7,12.13,180.471423018145,0.4714230181450034,16,1
0,0.0,0.8024,0.3015,180.0,8,12.13,180.7730059821971,0.7730059821971054,16,1
0,0.0,0.8024,0.3015,180.0,9,12.13,179.7948811092391,0.20511889076090029,16,1
0,0.0,0.8024,0.3015,180.0,10,12.13,179.83339524491817,0.1666047550818348,16,1
0,0.0,0.8024,0.3015,180.0,11,12.13,179.1844215488251,0.8155784511749289,16,1
0,0.0,0.8024,0.3015,180.0,12,12.13,179.05021371721566,0.9497862827843164,16,1
0,0.0,0.8024,0.3015,180.0,13,12.13,180.09504072223203,0.09504072223202797,16,1
0,0.0,0.8024,0.3015,180.0,14,12.13,180.0761176239341,0.07611762393409549,16,1
0,0.0,0.8024,0.3015,180.0,15,12.13,179.4768803025219,0.5231196974781369,16,1
0,0.0,0.8024,0.3015,180.0,16,12.13,180.3669353233355,0.36693532333549683,16,1
0,0.0,0.8024,0.3015,180.0,17,12.13,180.0255609838731,0.025560983873106125,16,1
0,0.0,0.8024,0.3015,180.0,18,12.13,180.41484730118657,0.414847301186569,16,1
0,0.0,0.8024,0.3015,180.0,19,12.13,179.672319352821,0.32768064717902234,16,1
0,0.0,0.8024,0.3015,180.0,20,12.13,179.80935849471228,0.19064150528771506,16,1
0,0.0,0.8024,0.3015,180.0,21,12.13,179.55515746438874,0.44484253561125797,16,1
0,0.0,0.8024,0.3015,180.0,22,12.13,179.09758128916894,0.9024187108310571,16,1
0,0.0,0.8024,0.3015,180.0,23,12.13,179.8197311235627,0.18026887643731015,16,1
0,0.0,0.8024,0.3015,180.0,24,12.13,179.39832332057264,0.601676679427328,16,1
0,0.0,0.8024,0.3015,180.0,25,12.13,180.69067576163104,0.6906757616310415,16,1
0,0.0,0.8024,0.3015,180.0,26,12.13,180.13651494462428,0.13651494462428104,16,1
0,0.0,0.8024,0.3015,180.0,27,12.13,180.09474272813412,0.09474272813412199,16,1
0,0.0,0.8024,0.3015,180.0,28,12.13,179.25505725137072,0.7449427486292848,16,1
0,0.0,0.8024,0.3015,180.0,29,12.13,179.88999171842178,0.11000828157818887,16,1
0,0.0,0.8024,0.3015,180.0,30,12.13,179.92201621881568,0.07798378118434357,16,1
0,0.0,0.8024,0.3015,180.0,31,12.13,179.78727488774155,0.21272511225845392,16,1
0,0.0,0.8024,0.3015,180.0,32,12.13,178.91039123598404,1.0896087640159635,16,1
0,0.0,0.8024,0.3015,180.0,33,12.13,179.95812520494624,0.04187479505378633,16,1
0,0.0,0.8024,0.3015,180.0,34,12.13,180.6706787909629,0.6706787909629099,16,1
0,0.0,0.8024,0.3015,180.0,35,12.13,180.10443983821128,0.10443983821127745,16,1
0,0.0,0.8024,0.3015,180.0,36,12.13,179.42655135288467,0.5734486471153559,16,1
0,0.0,0.8024,0.3015,180.0,37,12.13,181.4454351572028,1.4454351572028088,16,1
0,0.0,0.8024,0.3015,180.0,38,12.13,180.23455789626277,0.23455789626277124,16,1
0,0.0,0.8024,0.3015,180.0,39,12.13,180.31907090223527,0.3190709022352678,16,1
0,0.0,0.8024,0.3015,180.0,40,12.13,180.12856860169472,0.12856860169472384,16,1
0,0.0,0.8024,0.3015,180.0,41,12.13,179.6538626326708,0.34613736732922007,16,1
0,0.0,0.8024,0.3015,180.0,42,12.13,180.61820883394404,0.6182088339440384,16,1
0,0.0,0.8024,0.3015,180.0,43,12.13,180.51763515969552,0.5176351596955158,16,1
0,0.0,0.8024,0.3015,180.0,44,12.13,180.71287006044682,0.7128700604468179,16,1
0,0.0,0.8024,0.3015,180.0,45,12.13,179.36256760013583,0.6374323998641671,16,1
0,0.0,0.8024,0.3015,180.0,46,12.13,180.03084688857598,0.030846888575979392,16,1
0,0.0,0.8024,0.3015,180.0,47,12.13,180.43118801673893,0.43118801673892904,16,1
0,0.0,0.8024,0.3015,180.0,48,12.13,180.05822543441937,0.058225434419370004,16,1
0,0.0,0.8024,0.3015,180.0,49,12.13,180.75450597532003,0.7545059753200292,16,1
0,0.0,0.8024,0.3015,180.0,50,12.13,180.5968130976467,0.5968130976467023,16,1
